algorithm,wins,scenarios,win_rate,avg_best_objective,avg_mean_objective,avg_runtime,avg_delta_vs_best
ils,2,3,0.6666666666666666,-5633.129014666669,-5633.129014666669,15.371333333333334,-1550.3130320000007
bayes,1,3,0.3333333333333333,-4089.868649333335,-5674.932208933337,4.019755555555556,-7.052666666666482
tabu,1,3,0.3333333333333333,-5196.619395333336,-5196.619395333336,43.85433333333333,-1113.8034126666673
grid,0,3,0.0,-4715.550720666671,-5629.206052000004,4.044416666666667,-632.7347380000023
random,0,3,0.0,-5266.19635266667,-6549.041467000003,4.566333333333334,-1183.380370000001
