algorithm,scenario,runs,best_objective,mean_objective,best_run_id,best_started_at,best_config,summary_best,summary_configurations,summary_updated_at,machine_costs_summary,repair_usage_alert
bayes,FHOPS Medium42,15,-32235.693520,-36946.534199,de7793a0957e4c28930250ef3e3ee97b,2026-03-23T11:04:21+00:00,"iters=200; operators=(block_insertion:0.49130789293933946, coverage_injection:1.5045100237523736, cross_exchange:1.966879877687783)",,,,,
bayes,FHOPS Small21,15,15627.570820,15613.081887,65e1735676a147d3b4d99576e7913b3f,2026-03-23T11:05:44+00:00,"iters=200; operators=(block_insertion:0.8674023453590565, coverage_injection:0.8617255266592876, cross_exchange:0.9873701953006124)",,,,,
bayes,FHOPS Tiny7,15,4338.516752,4308.655685,a09e99b484f646399a50129162d8ee8b,2026-03-23T11:02:45+00:00,"batch_size=3; iters=200; operators=(block_insertion:1.4448867651404431, coverage_injection:0.6459178277063564, cross_exchange:0.7235773112446282)",,,,,
bayes,synthetic-small,15,-75039.791000,-75039.791000,e698e50b7d6d4dadbd567b190de9f902,2026-03-23T11:05:04+00:00,"batch_size=3; iters=200; operators=(block_insertion:1.1026295381657825, coverage_injection:1.4389379395711261, cross_exchange:0.8462129202489219)",-75039.791000,15,2026-03-23T11:05:35+00:00,,
grid,FHOPS Medium42,4,-34102.193734,-36802.938728,16612f0f0b59401aa639113cd9cf9575,2026-03-23T11:02:00+00:00,"iters=200; operators=(block_insertion:0.6, coverage_injection:0.5, cross_exchange:0.6)",,,,,
grid,FHOPS Small21,4,15617.024820,15600.799320,12e80c959d3a46a9aaa60be0740c2a16,2026-03-23T11:02:31+00:00,"iters=200; operators=(block_insertion:0.6, coverage_injection:0.5, cross_exchange:0.6)",,,,,
grid,FHOPS Tiny7,4,4338.516752,4314.521252,96b81ce379b9446c8c0f0dfd48f613eb,2026-03-23T11:01:45+00:00,"batch_size=4; iters=200; operators=(block_insertion:0.6, coverage_injection:0.5, cross_exchange:0.6)",,,,,
grid,synthetic-small,4,-75039.791000,-75039.791000,e5ff201e6bb3457296f16c43b9b50d73,2026-03-23T11:02:22+00:00,"iters=200; operators=(block_insertion:0.6, coverage_injection:0.5, cross_exchange:0.6)",,,,,
random,FHOPS Medium42,2,-35742.718630,-39586.192973,732b0e9e682446e18710a887d8e34b8e,2026-03-23T11:01:25+00:00,"batch_size=3; iters=200; operators=(block_insertion:1.226, coverage_injection:1.347, cross_exchange:1.01)",,,,,
random,FHOPS Small21,2,15637.606820,15632.545820,62f415962410432c94e57c794a3dea2c,2026-03-23T11:01:37+00:00,"batch_size=4; iters=200; operators=(block_insertion:0.772, coverage_injection:0.635, cross_exchange:0.756)",,,,,
random,FHOPS Tiny7,2,4306.522752,4306.522752,833b6fd00892402aa0f3740a362507b6,2026-03-23T11:01:11+00:00,"batch_size=3; iters=200; operators=(block_insertion:0.6, coverage_injection:1.352, cross_exchange:0.6)",,,,,
random,synthetic-small,2,-75039.791000,-75039.791000,10abf674bec44f04882b4e77d7fc271b,2026-03-23T11:01:32+00:00,"batch_size=2; iters=200; operators=(block_insertion:1.332, coverage_injection:0.516, cross_exchange:1.086)",-75039.791000,8,2026-03-23T11:01:43+00:00,,
