algorithm,wins,scenarios,win_rate,avg_best_objective,avg_mean_objective,avg_runtime,avg_delta_vs_best
ils,3,4,0.75,-22984.794511,-22984.794511,13.20175,-1162.7347740000005
bayes,2,4,0.5,-21827.349237000002,-23016.146906700003,3.5235000000000003,-5.289499999999862
tabu,2,4,0.5,-22657.412296500002,-22657.412296500002,38.8535,-835.3525595000006
grid,1,4,0.25,-22296.610790500003,-22981.852289000002,3.5983125,-474.5510535000017
random,1,4,0.25,-22709.595014500002,-23671.72885025,3.996,-887.5352775000008
