day,sample_id,production_units,total_hours,idle_hours,mobilisation_cost,completed_blocks,blackout_conflicts,sequencing_violations,available_hours,utilisation_ratio,downtime_hours,downtime_events,weather_severity_total
1,0,2406.789997,48.0,168.0,0.0,0,0,0,216.0,0.2222222222222222,0.0,0,0.0
2,0,3340.281942,72.0,144.0,106.48,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
3,0,2138.212676,72.0,144.0,0.0,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
4,0,3626.050878,120.0,96.0,53.24,0,0,0,216.0,0.5555555555555556,0.0,0,0.0
5,0,3271.3024570000002,120.0,96.0,106.48,1,0,0,216.0,0.5555555555555556,0.0,0,0.0
6,0,1805.445128,72.0,144.0,53.24,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
7,0,1070.72793,48.0,168.0,53.24,1,0,0,216.0,0.2222222222222222,0.0,0,0.0
