day,sample_id,production_units,total_hours,idle_hours,mobilisation_cost,completed_blocks,blackout_conflicts,sequencing_violations,available_hours,utilisation_ratio,downtime_hours,downtime_events,weather_severity_total
1,0,2340.893841,48.0,168.0,0.0,0,0,0,216.0,0.2222222222222222,0.0,0,0.0
2,0,3523.486701,72.0,144.0,109.12,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
3,0,3561.245471,120.0,96.0,162.60000000000002,0,0,0,216.0,0.5555555555555556,0.0,0,0.0
4,0,4227.068211,120.0,96.0,214.64,0,0,0,216.0,0.5555555555555556,0.0,0,0.0
5,0,3448.7871720000003,96.0,120.0,106.48,0,0,0,216.0,0.4444444444444444,0.0,0,0.0
6,0,3414.929326,120.0,96.0,270.52,0,0,0,216.0,0.5555555555555556,0.0,0,0.0
7,0,4607.893957999999,144.0,72.0,269.08,0,0,0,216.0,0.6666666666666666,0.0,0,0.0
8,0,4027.425762,120.0,96.0,269.08000000000004,0,0,0,216.0,0.5555555555555556,0.0,0,0.0
9,0,4868.0464059999995,144.0,72.0,269.08000000000004,0,0,0,216.0,0.6666666666666666,0.0,0,0.0
10,0,6006.242879,168.0,48.0,378.44,0,0,0,216.0,0.7777777777777778,0.0,0,0.0
11,0,5020.838551,144.0,72.0,323.28,0,0,0,216.0,0.6666666666666666,0.0,0,0.0
12,0,3602.7694459999993,120.0,96.0,269.32,0,0,0,216.0,0.5555555555555556,0.0,0,0.0
13,0,3997.1851579999993,144.0,72.0,327.35999999999996,0,0,0,216.0,0.6666666666666666,0.0,0,0.0
14,0,4749.929917,144.0,72.0,325.20000000000005,1,0,0,216.0,0.6666666666666666,0.0,0,0.0
15,0,3477.7089640000013,168.0,48.0,270.76000000000005,0,0,0,216.0,0.7777777777777778,0.0,0,0.0
16,0,4386.796488,168.0,48.0,380.36,0,0,0,216.0,0.7777777777777778,0.0,0,0.0
17,0,5677.124443,168.0,48.0,326.16,0,0,0,216.0,0.7777777777777778,0.0,0,0.0
18,0,5689.3531,192.0,24.0,379.40000000000003,0,0,0,216.0,0.8888888888888888,0.0,0,0.0
19,0,5091.464040000001,192.0,24.0,432.4,0,0,0,216.0,0.8888888888888888,0.0,0,0.0
20,0,3482.8593490000003,168.0,48.0,375.08000000000004,1,0,0,216.0,0.7777777777777778,0.0,0,0.0
21,0,3734.0951289999994,144.0,72.0,321.84,0,0,0,216.0,0.6666666666666666,0.0,0,0.0
22,0,2109.78058,96.0,120.0,215.36,0,0,0,216.0,0.4444444444444444,0.0,0,0.0
23,0,2163.9241899999997,72.0,144.0,161.64,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
24,0,2815.458569,120.0,96.0,269.8,0,0,0,216.0,0.5555555555555556,0.0,0,0.0
25,0,3793.464481,120.0,96.0,272.44,0,0,0,216.0,0.5555555555555556,0.0,0,0.0
26,0,2768.103749,120.0,96.0,273.88,0,0,0,216.0,0.5555555555555556,0.0,0,0.0
27,0,1644.1938730000002,72.0,144.0,165.48000000000002,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
28,0,1428.1557269999994,72.0,144.0,164.76,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
29,0,1641.0055569999993,96.0,120.0,218.24,1,0,0,216.0,0.4444444444444444,0.0,0,0.0
30,0,2084.312326999999,96.0,120.0,164.76,0,0,0,216.0,0.4444444444444444,0.0,0,0.0
31,0,3597.4902379999985,120.0,96.0,275.32000000000005,1,0,0,216.0,0.5555555555555556,0.0,0,0.0
32,0,2813.610983,120.0,96.0,276.76,0,0,0,216.0,0.5555555555555556,0.0,0,0.0
33,0,2155.0123939999994,96.0,120.0,218.0,0,0,0,216.0,0.4444444444444444,0.0,0,0.0
34,0,2433.255479,120.0,96.0,268.36,0,0,0,216.0,0.5555555555555556,0.0,0,0.0
35,0,3064.4939489999997,120.0,96.0,215.36,1,0,0,216.0,0.5555555555555556,0.0,0,0.0
36,0,2859.649442,120.0,96.0,271.96,0,0,0,216.0,0.5555555555555556,0.0,0,0.0
37,0,3221.884409,120.0,96.0,273.40000000000003,0,0,0,216.0,0.5555555555555556,0.0,0,0.0
38,0,2419.920182,96.0,120.0,217.04000000000002,0,0,0,216.0,0.4444444444444444,0.0,0,0.0
39,0,2437.888629,120.0,96.0,268.36,0,0,0,216.0,0.5555555555555556,0.0,0,0.0
40,0,1229.510862999999,96.0,120.0,215.36,0,0,0,216.0,0.4444444444444444,0.0,0,0.0
41,0,1578.9775119999988,72.0,144.0,161.4,1,0,0,216.0,0.3333333333333333,0.0,0,0.0
42,0,1740.510705999997,96.0,120.0,216.8,1,0,0,216.0,0.4444444444444444,0.0,0,0.0
