day,sample_id,production_units,total_hours,idle_hours,mobilisation_cost,completed_blocks,blackout_conflicts,sequencing_violations,available_hours,utilisation_ratio,downtime_hours,downtime_events,weather_severity_total
1,0,2406.789997,48.0,168.0,0.0,0,0,0,216.0,0.2222222222222222,0.0,0,0.0
2,0,3340.281942,72.0,144.0,106.48,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
3,0,1496.7488732,72.0,144.0,0.0,0,0,0,216.0,0.3333333333333333,0.0,0,0.8999999999999999
4,0,3565.105147,120.0,96.0,53.24,0,0,2,216.0,0.5555555555555556,0.0,0,0.0
5,0,3006.7332618,120.0,96.0,106.48,0,0,1,216.0,0.5555555555555556,0.0,0,0.0
6,0,1805.445128,72.0,144.0,53.24,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
7,0,1070.72793,48.0,168.0,53.24,1,0,0,216.0,0.2222222222222222,0.0,0,0.0
1,1,2406.789997,48.0,168.0,0.0,0,0,0,216.0,0.2222222222222222,0.0,0,0.0
2,1,3340.281942,72.0,144.0,106.48,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
3,1,2138.212676,72.0,144.0,0.0,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
4,1,3626.050878,120.0,96.0,53.24,0,0,0,216.0,0.5555555555555556,0.0,0,0.0
5,1,3271.3024570000002,120.0,96.0,106.48,1,0,0,216.0,0.5555555555555556,0.0,0,0.0
6,1,1805.445128,72.0,144.0,53.24,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
7,1,1070.72793,48.0,168.0,53.24,1,0,0,216.0,0.2222222222222222,0.0,0,0.0
1,2,2406.789997,48.0,168.0,0.0,0,0,0,216.0,0.2222222222222222,0.0,0,0.0
2,2,3340.281942,72.0,144.0,106.48,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
3,2,1496.7488732,72.0,144.0,0.0,0,0,0,216.0,0.3333333333333333,0.0,0,0.8999999999999999
4,2,3565.105147,120.0,96.0,53.24,0,0,2,216.0,0.5555555555555556,0.0,0,0.0
5,2,2469.335168,96.0,120.0,106.48,0,0,0,216.0,0.4444444444444444,0.0,0,0.0
6,2,1805.445128,72.0,144.0,53.24,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
7,2,937.184825,24.0,192.0,0.0,0,0,0,216.0,0.1111111111111111,0.0,0,0.0
1,3,1185.8830549999998,24.0,192.0,0.0,0,0,0,216.0,0.1111111111111111,0.0,0,0.0
2,3,3193.7958099999996,72.0,144.0,53.24,0,0,1,216.0,0.3333333333333333,0.0,0,0.0
3,3,1063.791866,72.0,144.0,0.0,0,0,1,216.0,0.3333333333333333,0.0,0,0.0
4,3,2405.143936,120.0,96.0,53.24,0,0,3,216.0,0.5555555555555556,0.0,0,0.0
5,3,2050.395515,120.0,96.0,106.48,0,0,2,216.0,0.5555555555555556,0.0,0,0.0
6,3,1805.445128,72.0,144.0,53.24,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
7,3,1070.72793,48.0,168.0,53.24,1,0,0,216.0,0.2222222222222222,0.0,0,0.0
1,4,2406.789997,48.0,168.0,0.0,0,0,0,216.0,0.2222222222222222,0.0,0,0.0
2,4,3340.281942,72.0,144.0,106.48,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
3,4,2138.212676,72.0,144.0,0.0,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
4,4,3094.1549449999998,96.0,120.0,53.24,0,0,0,216.0,0.4444444444444444,0.0,0,0.0
5,4,2739.406524,120.0,96.0,106.48,0,0,1,216.0,0.5555555555555556,0.0,0,0.0
6,4,1805.445128,72.0,144.0,53.24,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
7,4,1070.72793,48.0,168.0,53.24,1,0,0,216.0,0.2222222222222222,0.0,0,0.0
1,5,2406.789997,48.0,168.0,0.0,0,0,0,216.0,0.2222222222222222,0.0,0,0.0
2,5,3340.281942,72.0,144.0,106.48,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
3,5,1496.7488732,72.0,144.0,0.0,0,0,0,216.0,0.3333333333333333,0.0,0,0.8999999999999999
4,5,3565.105147,120.0,96.0,53.24,0,0,2,216.0,0.5555555555555556,0.0,0,0.0
5,5,2469.335168,96.0,120.0,106.48,0,0,0,216.0,0.4444444444444444,0.0,0,0.0
6,5,1507.011051,48.0,168.0,53.24,0,0,0,216.0,0.2222222222222222,0.0,0,0.0
7,5,772.293853,48.0,168.0,0.0,0,0,2,216.0,0.2222222222222222,0.0,0,0.0
1,6,2406.789997,48.0,168.0,0.0,0,0,0,216.0,0.2222222222222222,0.0,0,0.0
2,6,3340.281942,72.0,144.0,106.48,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
3,6,2138.212676,72.0,144.0,0.0,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
4,6,1976.5476668000001,96.0,120.0,53.24,0,0,0,216.0,0.4444444444444444,0.0,0,1.2
5,6,3168.0989801,120.0,96.0,106.48,0,0,1,216.0,0.5555555555555556,0.0,0,0.0
6,6,1464.456187,72.0,144.0,53.24,0,0,2,216.0,0.3333333333333333,0.0,0,0.0
7,6,626.5355121,48.0,168.0,53.24,0,0,2,216.0,0.2222222222222222,0.0,0,0.0
1,7,2406.789997,48.0,168.0,0.0,0,0,0,216.0,0.2222222222222222,0.0,0,0.0
2,7,3340.281942,72.0,144.0,106.48,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
