day,sample_id,production_units,total_hours,idle_hours,mobilisation_cost,completed_blocks,blackout_conflicts,sequencing_violations,available_hours,utilisation_ratio,downtime_hours,downtime_events,weather_severity_total
1,0,2340.893841,48.0,168.0,0.0,0,0,0,216.0,0.2222222222222222,0.0,0,0.0
2,0,3217.574552,72.0,144.0,107.44,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
3,0,4000.7108209999997,120.0,96.0,160.92000000000002,0,0,0,216.0,0.5555555555555556,0.0,0,0.0
4,0,4227.068211,120.0,96.0,160.68,0,0,0,216.0,0.5555555555555556,0.0,0,0.0
5,0,3564.8867950000003,96.0,120.0,217.28,0,0,0,216.0,0.4444444444444444,0.0,0,0.0
6,0,3299.223976,96.0,120.0,159.96,0,0,0,216.0,0.4444444444444444,0.0,0,0.0
7,0,3734.7880840000003,120.0,96.0,272.2,0,0,0,216.0,0.5555555555555556,0.0,0,0.0
8,0,3391.514294019641,168.0,48.0,324.00000000000006,0,0,2,216.0,0.7777777777777778,0.0,0,0.0
9,0,2017.9273337999998,144.0,72.0,272.92,0,0,1,216.0,0.6666666666666666,0.0,0,1.8
10,0,3228.935044,96.0,120.0,161.88,0,0,0,216.0,0.4444444444444444,0.0,0,0.0
11,0,4090.659834,96.0,120.0,216.56,0,0,1,216.0,0.4444444444444444,0.0,0,0.0
12,0,3842.6396269999987,168.0,48.0,274.35999999999996,0,0,1,216.0,0.7777777777777778,0.0,0,0.0
13,0,4131.850681,144.0,72.0,323.76,0,0,0,216.0,0.6666666666666666,0.0,0,0.0
14,0,4582.894479,144.0,72.0,324.71999999999997,0,0,0,216.0,0.6666666666666666,0.0,0,0.0
15,0,4604.287224999999,168.0,48.0,326.4,0,0,1,216.0,0.7777777777777778,0.0,0,0.0
16,0,3980.1909479999995,144.0,72.0,327.6,0,0,1,216.0,0.6666666666666666,0.0,0,0.0
17,0,4488.123453,168.0,48.0,328.08,1,0,0,216.0,0.7777777777777778,0.0,0,0.0
18,0,2909.8853179999996,120.0,96.0,275.08000000000004,0,0,0,216.0,0.5555555555555556,0.0,0,0.0
19,0,4696.533264,144.0,72.0,329.28,0,0,0,216.0,0.6666666666666666,0.0,0,0.0
20,0,3331.991269,168.0,48.0,381.08,0,0,0,216.0,0.7777777777777778,0.0,0,0.0
21,0,4096.039002,144.0,72.0,324.72,0,0,0,216.0,0.6666666666666666,0.0,0,0.0
