day,sample_id,production_units,total_hours,idle_hours,mobilisation_cost,completed_blocks,blackout_conflicts,sequencing_violations,available_hours,utilisation_ratio,downtime_hours,downtime_events,weather_severity_total
1,0,2406.789997,48.0,168.0,0.0,0,0,0,216.0,0.2222222222222222,0.0,0,0.0
2,0,3340.281942,72.0,144.0,106.48,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
3,0,1781.1032813000002,72.0,144.0,53.24,0,0,0,216.0,0.3333333333333333,0.0,0,0.8999999999999999
4,0,2308.3746433,96.0,120.0,106.48,0,0,2,216.0,0.4444444444444444,0.0,0,0.0
5,0,2538.876997,96.0,120.0,106.48,0,0,2,216.0,0.4444444444444444,0.0,0,0.0
6,0,1969.5336430999998,120.0,96.0,106.48,0,0,2,216.0,0.5555555555555556,0.0,0,0.0
7,0,1342.9981309999998,48.0,168.0,106.48,0,0,1,216.0,0.2222222222222222,0.0,0,0.0
1,1,2406.789997,48.0,168.0,0.0,0,0,0,216.0,0.2222222222222222,0.0,0,0.0
2,1,3340.281942,72.0,144.0,106.48,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
3,1,2544.4332590000004,72.0,144.0,53.24,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
4,1,2469.335168,96.0,120.0,106.48,0,0,0,216.0,0.4444444444444444,0.0,0,0.0
5,1,2879.865938,96.0,120.0,106.48,0,0,0,216.0,0.4444444444444444,0.0,0,0.0
6,1,2413.7260609999994,120.0,96.0,106.48,1,0,0,216.0,0.5555555555555556,0.0,0,0.0
7,1,1604.378643,48.0,168.0,106.48,1,0,0,216.0,0.2222222222222222,0.0,0,0.0
1,2,2406.789997,48.0,168.0,0.0,0,0,0,216.0,0.2222222222222222,0.0,0,0.0
2,2,3340.281942,72.0,144.0,106.48,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
3,2,1781.1032813000002,72.0,144.0,53.24,0,0,0,216.0,0.3333333333333333,0.0,0,0.8999999999999999
4,2,2308.3746433,96.0,120.0,106.48,0,0,2,216.0,0.4444444444444444,0.0,0,0.0
5,2,2538.876997,96.0,120.0,106.48,0,0,2,216.0,0.4444444444444444,0.0,0,0.0
6,2,1437.6377100999998,96.0,120.0,53.24,0,0,2,216.0,0.4444444444444444,0.0,0,0.0
7,2,802.411354,24.0,192.0,53.24,0,0,0,216.0,0.1111111111111111,0.0,0,0.0
1,3,1185.8830549999998,24.0,192.0,0.0,0,0,0,216.0,0.1111111111111111,0.0,0,0.0
2,3,3193.7958099999996,72.0,144.0,53.24,0,0,1,216.0,0.3333333333333333,0.0,0,0.0
3,3,2544.4332590000004,72.0,144.0,53.24,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
4,3,2469.335168,96.0,120.0,106.48,0,0,0,216.0,0.4444444444444444,0.0,0,0.0
5,3,1805.445128,96.0,120.0,106.48,0,0,1,216.0,0.4444444444444444,0.0,0,0.0
6,3,1192.8191189999998,120.0,96.0,106.48,1,0,3,216.0,0.5555555555555556,0.0,0,0.0
7,3,383.4717009999998,48.0,168.0,106.48,0,0,2,216.0,0.2222222222222222,0.0,0,0.0
1,4,2406.789997,48.0,168.0,0.0,0,0,0,216.0,0.2222222222222222,0.0,0,0.0
2,4,3340.281942,72.0,144.0,106.48,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
3,4,2544.4332590000004,72.0,144.0,53.24,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
4,4,1899.508942,72.0,144.0,53.24,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
5,4,2512.507339,96.0,120.0,159.72,0,0,1,216.0,0.4444444444444444,0.0,0,0.0
6,4,2211.258434,120.0,96.0,106.48,0,0,2,216.0,0.5555555555555556,0.0,0,0.0
7,4,1604.378643,48.0,168.0,106.48,1,0,0,216.0,0.2222222222222222,0.0,0,0.0
1,5,2406.789997,48.0,168.0,0.0,0,0,0,216.0,0.2222222222222222,0.0,0,0.0
2,5,3340.281942,72.0,144.0,106.48,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
3,5,1781.1032813000002,72.0,144.0,53.24,0,0,0,216.0,0.3333333333333333,0.0,0,0.8999999999999999
4,5,2308.3746433,96.0,120.0,106.48,0,0,2,216.0,0.4444444444444444,0.0,0,0.0
5,5,2538.876997,96.0,120.0,106.48,0,0,2,216.0,0.4444444444444444,0.0,0,0.0
6,5,944.6453029999998,72.0,144.0,53.24,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
7,5,811.1021979999998,48.0,168.0,106.48,0,0,1,216.0,0.2222222222222222,0.0,0,0.0
1,6,2406.789997,48.0,168.0,0.0,0,0,0,216.0,0.2222222222222222,0.0,0,0.0
2,6,3340.281942,72.0,144.0,106.48,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
3,6,2544.4332590000004,72.0,144.0,53.24,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
4,6,1728.5346175999998,96.0,120.0,106.48,0,0,0,216.0,0.4444444444444444,0.0,0,1.2
5,6,1666.0170194,72.0,144.0,53.24,0,0,1,216.0,0.3333333333333333,0.0,0,0.0
6,6,1136.837624,120.0,96.0,106.48,0,0,5,216.0,0.5555555555555556,0.0,0,0.0
7,6,770.6812392,48.0,168.0,106.48,0,0,2,216.0,0.2222222222222222,0.0,0,0.0
1,7,2406.789997,48.0,168.0,0.0,0,0,0,216.0,0.2222222222222222,0.0,0,0.0
